web_server;compiler;waiting_time
2;47022;443491
0;47536;443250
0;42233;448617
1;39484;453568
1;39255;453805
1;34997;458174
1;34007;460231
1;61505;440740
1;50989;453771
1;56994;448128
4;43270;465939
1;34269;474843
2;51745;460059
1;49246;466703
1;41493;474383
1;56281;462441
1;61482;457948
1;35743;485770
1;40255;481792
1;40479;481677
0;36269;485808
2;32998;489076
1;49991;474850
0;38750;489463
2;47027;481691
0;36742;491754
2;42512;489087
2;42764;488869
0;46020;493227
1;34777;504482
1;32740;507759
1;35746;507853
0;43522;500410
471;52778;491763
1;48510;500353
1;27543;523172
3;62255;489591
1;24066;527063
1;63248;489232
470;41268;510486
1;31737;520358
3;52293;503231
2;34272;520736
2;41281;514181
1;34801;520924
247;42753;514192
1;40243;517163
1;39245;520551
1;43996;517367
0;42092;527052
1;26936;542760
0;41560;530298
224;34804;540006
1;50294;524846
1;29587;545523
0;55807;527813
1;45822;538286
1;34316;550845
470;19025;568066
2;36734;554201
2;53098;538491
2;51814;539759
1;51124;543269
11;35261;558407
0;43498;554254
2;41753;555879
7;48051;550274
2;47858;550625
2;42014;555998
0;38498;559858
1;57249;551328
1;57556;551081
0;61057;547776
2;61000;554905
0;44985;584408
3;67000;573830
31;67029;573814
0;50523;590044
1;72499;568818
514;67582;573580
0;62232;589980
1;59022;593057
1;55754;596953
0;71020;582321
1;57484;596523
1;84012;570762
2;57527;596517
2;65993;589881
1;71805;584232
0;106823;550457
470;63016;592831
1;68755;590002
1;18768;639767
0;32757;625861
0;18990;639698
0;20993;638315
1;52751;606645
0;46745;612886
0;62993;597199
13;80547;582776
0;59771;606754
1;65478;601619
0;70488;596752
1;30748;639742
0;38753;639792
1;27505;651822
2;24992;657513
1;34498;654427
0;37269;651840
1;34543;654578
470;36254;652978
1;36752;653001
0;31998;658126
0;25266;664948
0;35248;657701
0;42290;653000
1;40990;654599
2;36774;658506
2;34488;661118
1;39505;658647
1;48748;651052
0;49506;651134
1;50521;651143
1;50257;654428
1;46753;657937
0;49499;658316
0;46264;665103
1;23340;687799
1;45751;665860
1;24014;688270
470;60756;657704
1;42563;681411
0;36989;688987
0;33276;693830
1;35030;694339
1;32025;699770
1;48304;688059
1;44501;691615
0;58499;678267
2;51286;685405
0;25775;710331
1;43995;694119
2;38008;703430
1;52499;689622
0;34259;707394
1;65975;677085
1;39236;702998
2;39221;703514
1;51989;693909
0;61566;687817
1;27764;721234
0;42014;710261
0;54306;698764
1;57758;697805
2;36264;718736
0;59021;696830
1;32023;727734
1;60991;699784
0;47286;717476
3;56472;709007
2;41261;727753
0;45777;723731
1;53009;725491
0;49484;729262
1;51231;727745
0;46783;734474
0;46513;734739
3;48974;733010
1;37226;744008
0;37276;743987
1;54766;727494
226;70786;715230
0;52751;733240
0;44766;740999
0;46750;740240
0;59506;730766
1;39542;751479
0;48516;743993
3;60021;733476
494;46240;746488
252;48257;746728
2;36271;758247
1;47267;751480
2;53010;755995
2;48515;760497
0;78781;733491
1;40493;770494
1;42041;769480
0;45527;770483
2;66512;753750
2;45246;774741
0;38753;781021
0;52487;770255
1;53263;769976
0;53249;769988
0;53517;769736
1;44495;778492
0;56001;770241
0;64493;769745
0;51990;781516
1;58266;775484
6;59999;773995
0;64504;770003
1;49722;784275
0;57742;778503
2;37464;798772
470;47758;788500
1;37719;799007
232;40253;796497
1;52730;784512
0;56003;781266
2;42241;808008
1;53734;800490
2;41758;810751
0;51261;805489
470;58245;800508
0;57246;801758
2;53500;805492
0;43237;818999
0;62765;800990
2;57019;807754
0;47731;818772
0;45008;822003
0;47016;821499
1;46746;822257
1;65743;807499
1;68752;805248
1;53986;821262
1;52760;822494
236;56984;819016
0;64517;811739
0;75010;807741
0;66010;818984
0;65266;819249
1;66250;818994
0;63028;821738
0;49969;837512
1;39521;852241
0;58006;835003
1;66535;828986
0;66264;832243
1;48751;849495
1;54508;845485
0;67240;837008
1;65264;838731
0;60018;843986
0;58039;845981
1;71744;833497
0;65252;842982
3;55532;852228
4;59032;849484
1;70245;841237
1;51005;861245
1;60757;852480
0;80017;834242
0;78504;838989
0;70276;846745
2;52716;864011
0;66736;852260
1;59984;861256
1;66001;861499
224;58012;869501
0;53524;877227
1;55237;875751
1;51258;882985
2;64525;870248
1;77715;858768
1;59258;878498
0;65515;872755
2;58017;882236
472;58257;882013
1;52989;888232
1;62755;878007
2;61754;879017
1;57744;887494
1;73741;872765
1;66016;885249
0;74726;877765
0;76961;875772
1;65999;888743
1;52282;902233
2;71514;891251
1;70026;895976
6;63239;902761
