server;disk;compiler
0,8940329999999932;0,540832;38,838557
2,705413;0,297314;29,245325
1,958397999999999;0,308743;24,828312
1,5513349999999981;0,352943;21,8396
1,0336110000000005;0,169199;10,285523
0,8350369999999998;0,365789;22,048376
2,1123389999999986;0,31842;27,205762
2,1084940000000003;0,314448;29,277795
1,762082000000003;0,37923;25,509589
2,1079209999999975;0,308875;26,930025
1,7914920000000016;0,304546;26,146487
0,647472000000004;1,433728;28,062115
3,5896449999999973;0,348094;26,683679
2,252566999999999;0,309418;26,018218
2,2084030000000006;0,3078;29,340881
1,7012919999999987;0,328389;25,742723
1,751691000000001;0,421677;26,40655
1,2555230000000002;0,211605;12,308268
1,127946999999999;0,301492;23,120595
2,151690000000002;0,299418;27,109419
1,8118449999999982;0,33798;24,710537
2,058495999999998;0,228019;26,244039
1,1942340000000016;0,189323;17,621926
1,1323790000000002;0,302675;26,695619
1,6786160000000017;0,315492;22,825724
1,9990479999999984;0,402601;28,112395
2,1763779999999997;0,339431;24,338552
2,093982999999998;0,28928;26,657793
2,1963849999999994;0,223736;25,525786
0,5401230000000012;1,056924;23,1365
5,302869999999999;0,264154;23,757252
2,021457999999999;0,197637;22,988938
1,194257000000004;0,15986;17,775543
0,9222789999999996;0,222896;20,821833
1,2883460000000007;0,30803;20,637687
2,2840319999999963;0,308081;26,366509
1,7926959999999994;0,314258;27,27646
1,777508000000001;0,307487;26,672456
1,824377000000002;0,178997;29,915247
1,327016999999998;0,1164;16,136469
0,7663949999999993;0,251181;14,891768
1,1033550000000005;0,444033;18,74083
2,1577249999999992;0,299128;29,306628
1,728662;0,391226;27,771403
2,1994409999999966;0,310393;23,787434
2,0375569999999996;0,313133;25,423957
1,751527000000003;0,308764;24,200362
1,7869050000000009;0,286869;25,821347
1,7783669999999994;0,315742;26,112935
1,8061790000000038;0,32662;28,483513
1,9118390000000005;0,368445;26,46663
2,0620280000000015;0,394897;24,2335
1,250396000000002;1,029137;27,924104
3,002648999999998;0,38567;26,899628
1,8409119999999994;0,247724;24,985376
1,3401800000000001;0,252493;25,522073
1,400027999999999;0,355153;23,430843
0,5741370000000003;0,241874;29,091716
0,9999309999999966;0,575301;31,404249
3,788723000000001;0,227314;29,145357
1,1959160000000004;0,380315;25,381787
2,005391000000003;0,46598;28,13992
2,386961000000003;0,30078;29,550103
1,7855240000000023;0,300791;35,897948
1,774909000000001;0,373562;24,973518
2,0762179999999972;0,377013;27,198989
2,1096049999999984;0,30824;28,186681
1,8554770000000005;0,200363;26,378827
1,090043999999999;0,485527;21,013482
2,481065000000001;0,429539;26,138144
