web_server;compiler;waiting_time
2;216;0
3;213;0
2;248;0
2;413;1
1;505;0
1;826;1
0;924;0
1;864;0
2;1312;0
1;1617;0
1;1671;1
1;1889;1
0;2203;0
1;2882;0
1;2987;0
1;3629;1
0;3622;0
1;4156;1
1;4631;1
0;5802;0
1;7964;0
2;7961;0
1;8183;0
1;8198;0
1;8034;0
1;16323;0
1;16548;0
1;16846;0
2;17023;0
0;16987;0
2;17009;0
0;17186;0
1;17051;17
1;17358;1
0;17363;0
1;17433;0
1;17754;0
2;17911;0
2;18197;0
2;18186;0
1;18439;0
0;18473;0
2;154083;31
2;154333;28
2;154635;0
1;161512;2
1;161479;0
1;161528;29
1;167321;28
1;167382;0
1;173601;0
1;173778;21
1;174106;0
1;174319;1
2;174379;0
1;175215;24
2;175327;9
1;175746;0
0;175758;0
0;176110;0
1;194202;3
2;194227;220
3;194360;223
2;194820;7
471;195064;9
2;199781;0
3;199831;230
2;200090;225
1;205939;1
1;211218;1
3;211231;0
3;211468;0
1;210976;512
1;211730;0
170;212223;1
3;215932;1
2;219988;483
1;220684;32
1;220622;123
2;221149;87
1;221204;59
69;225482;20
2;225653;2
1;225903;37
1;225935;48
1;229945;50
2;230482;80
5;230491;75
2;234748;85
3;234800;64
0;235094;11
5;235360;43
19;235543;12
2;235901;29
1;235936;87
2;236268;75
1;236875;7
2;241677;0
0;241983;0
1;245938;69
0;246170;67
1;246195;64
114;246437;75
98;246826;48
561;246976;13
90;247553;0
4;247718;0
1;248026;0
1;248794;0
2;249102;0
2;254159;0
3;254178;0
2;254698;0
2;254732;0
0;255234;0
2;260669;0
471;262975;0
0;267972;0
2;267986;0
0;268264;0
1;268327;0
1;268724;0
2;268947;55
1;269919;47
1;269700;51
1;270123;85
3;270522;30
0;271347;32
0;271385;87
2;276805;49
1;277081;43
0;277610;135
0;277894;0
1;278434;23
1;278517;43
1;278616;136
1;278924;13
2;279751;0
117;280389;34
471;280236;99
0;280384;123
1;281975;0
1;281752;15
1;281767;57
1;283392;92
1;282570;10
2;283884;91
1;283523;12
2;284691;108
1;284980;59
1;286117;0
1;285898;166
0;286299;17
2;298053;1
1;298076;41
1;298100;43
1;298445;96
0;298664;4
2;298843;0
2;298793;46
2;298567;64
3;298856;0
2;298872;0
470;298951;0
2;299499;0
1;299375;0
1;299569;46
1;299625;78
1;299665;37
1;299986;73
0;299916;45
0;299749;6
0;300043;55
1;300317;80
